SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,Date,DEMS with imperfect forecast,DROEMS,DEMS with perfect forecast,,,,,,DEMS with imperfect forecast,
37807.51373,0,-21499.43912,5203.977065,6424.952809,483.9608387,,3/28/2030,15023.08404,28150.19668,29768.88868,0.495342799,,,,,15023.08404,28107.54968
184766.5034,0,-1964.061593,93.06094242,7297.364068,182.237621,,3/29/2030,181342.969,183243.3354,186229.0241,0.026236808,,,,,181342.969,183278.5461
92558.51625,0,19307.20963,23247.27044,11066.04634,413.3250292,,3/30/2030,109652.5166,112818.0064,114002.3483,0.038155632,,,,,109652.5166,112852.9817
19070.60884,0,7728.393837,9302.999828,8871.040759,1402.168233,,3/31/2030,25024.79453,24888.77792,24121.96297,-0.037427781,,,,,25024.79453,24953.97672
26132.52068,0,15937.41639,26319.13986,8851.574363,839.9937523,,4/1/2030,40299.6222,40155.74848,40545.8576,0.00607301,,,,,40299.6222,40240.81852
105136.1549,0,3889.716025,593.7547551,12115.57352,843.4495027,,4/2/2030,106602.7562,105442.2976,109745.3879,0.028635661,,,,,106602.7562,106099.264
24134.20699,0,-9171.243899,3286.962545,7818.669241,1714.252889,,4/3/2030,13399.22924,15412.89932,15713.51942,0.147280194,,,,,13399.22924,16300.3412
3570.510818,0,97.76983293,48.7533073,9186.40809,589.9104369,,4/4/2030,1830.999033,1634.567043,4206.822657,0.56475488,,,,,1830.999033,1307.394749
2183.242818,0,2099.511123,2055.61402,10141.18418,960.7497013,,4/5/2030,2254.517104,2436.538995,2503.855661,0.099581841,,,,,2254.517104,2349.49076
16205.4864,0,-12609.52044,3331.187497,10134.23729,1225.444198,,4/6/2030,1569.118503,7563.873367,9151.679262,0.828543106,,,,,1569.118503,7866.346997
2413.721329,0,1590.763849,17815.87416,12173.89713,1235.201268,,4/7/2030,1569.705751,2343.989173,2195.340215,0.28498292,,,,,1569.705751,2418.172571
22914.17372,0,21220.27784,22549.3691,9926.725175,1797.197015,,4/8/2030,42149.10652,38769.22175,49605.19356,0.150308597,,,,,42149.10652,39409.7301
7670.692117,0,-1891.895038,375.5027312,10839.59085,1204.818005,,4/9/2030,3610.878909,6343.300961,6291.308171,0.426052768,,,,,3610.878909,6540.239021
