SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle,,
55814.42203,0,14948.50731,5059.793552,7603.412963,1055.161757,,69242.24675
22101.49672,0,-16232.33386,8368.319773,6636.911996,1497.992608,,4541.780464
27260.25598,0,12346.78843,1668.559745,7899.598529,1129.862344,,38027.1247
2519.131085,0,2779.941377,3779.545882,6009.592296,1639.222684,,4097.154003
7603.112219,0,5205.665626,4878.113864,5991.693627,902.2429301,,11610.43912
3357.303326,0,5900.401064,18880.72911,5973.825527,903.2539108,,8062.939285
13289.90524,0,-73924.65204,45571.29767,4277.984818,904.2507209,,-61490.34376
32515.02965,0,5927.758619,8711.652953,7303.165265,232.3411994,,36982.15522
20747.57759,0,-55855.91578,28614.8112,4095.681799,1453.093968,,-35927.47455
628.5471958,0,1491.867533,1753.477136,7262.973092,170.1744551,,667.8201105
14020.51243,0,-7894.445911,2923.200048,5024.809795,1456.046252,,5121.104565
7749.247109,0,-43.30497485,0,9668.434736,558.3876577,,5772.255187
9784.026506,0,-68.24419339,263.0989237,8213.714131,2459.036096,,8073.039487
26471.57497,0,-49765.09706,32745.53526,2207.211936,1883.685091,,-23734.96447
2803.027007,0,3012.046309,1480.615374,7319.158274,-573.5471063,,4351.241662
1956.137539,0,129.3347549,0,6038.620332,1534.730955,,877.7482274
2289.28806,0,980.5632695,159.4333783,6895.74832,1016.936474,,1890.701665
2636.732062,0,29.42314656,0,6621.419185,1382.182407,,1341.871372
4344.156538,0,881.6142093,197.5327132,7502.089301,1279.207398,,3725.352887
0,0,119.4946044,0,5678.276775,1659.214802,,-1016.160751
2542.541143,0,26858.9056,6523.256554,5661.465557,905.2236769,,28269.15364
40751.74539,0,22868.72978,3738.277054,5950.728003,906.13179,,62430.32957
14251.09638,0,-8543.63568,926.2438015,5354.771069,1036.687083,,4636.506488
1541.517743,0,6490.234307,12080.37235,6953.672609,792.2198554,,6641.017529
217.7276638,0,5002.302238,2534.613251,5586.073518,1481.574139,,4102.815199
6855.656561,0,-11788.12916,3130.036155,4752.07892,907.9623246,,-5882.888379
946.7385575,0,-192.5780409,13.84859625,5235.162666,557.6813481,,-292.8720166
16217.51607,0,-1483.782722,369.8248382,7891.173918,771.5655322,,13155.49857
8130.822869,0,12942.91307,64583.63357,6876.169948,1927.381038,,19698.50195
